h,school,wt,lambda1,lambda2,lambda3,lambda4,lambda5,tau1,tau2,tau3,tau4,tau5
1,A121,1.4705931165747024,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
2,A121,1.4705931165747024,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
3,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
4,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
5,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
6,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
7,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
8,A121,1.4705931165747024,0.022318518135196627,-0.011971926461818624,-0.45805428163863365,0.017172424780391625,0.03334858851208204,-0.2827987179604541,-1.5279980998000022,3.7297598264226046,-1.4790478511571163,-0.8728453525216341
9,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
10,A121,1.4705931165747024,0.0650195791610645,0.21930222702574806,0.3290968217928347,0.23994506507183208,0.16540129712725257,-0.2061311754911056,-1.3859696885129456,-2.7239404383412635,-1.3854284975892954,-0.8121824509591475
